id,model_no,description
867,JKCH-20,"Model JKCH-20 is a 400W pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to 1.0 mm. The maximum flow is 100 LPM and the maximum head is 20.0 meters (66 feet). The rated head is 10.0 meters at a rated flow of 65.0 LPM. More details: https://www.hungpump.com/jkch"
868,JKCH-30,"Model JKCH-30 is a 550W pump operating at 60Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to 1.0 mm. The maximum flow is 100 LPM and the maximum head is 30.0 meters (98 feet). The rated head is 20.0 meters at a rated flow of 50.0 LPM. More details: https://www.hungpump.com/jkch"
869,JKCH-30,"Model JKCH-30 is a 550W pump operating at 60Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to 1.0 mm. The maximum flow is 100 LPM and the maximum head is 30.0 meters (98 feet). The rated head is 20.0 meters at a rated flow of 50.0 LPM. More details: https://www.hungpump.com/jkch"
870,JKCH-30,"Model JKCH-30 is a 550W pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to 1.0 mm. The maximum flow is 100 LPM and the maximum head is 30.0 meters (98 feet). The rated head is 20.0 meters at a rated flow of 50.0 LPM. More details: https://www.hungpump.com/jkch"
871,JKCH-30,"Model JKCH-30 is a 550W pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to 1.0 mm. The maximum flow is 100 LPM and the maximum head is 30.0 meters (98 feet). The rated head is 20.0 meters at a rated flow of 50.0 LPM. More details: https://www.hungpump.com/jkch"
872,JKCH-40,"Model JKCH-40 is a 800W pump operating at 60Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to 1.0 mm. The maximum flow is 100 LPM and the maximum head is 40.0 meters (131 feet). The rated head is 20.0 meters at a rated flow of 65.0 LPM. More details: https://www.hungpump.com/jkch"
873,JKCH-40,"Model JKCH-40 is a 800W pump operating at 60Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to 1.0 mm. The maximum flow is 100 LPM and the maximum head is 40.0 meters (131 feet). The rated head is 20.0 meters at a rated flow of 65.0 LPM. More details: https://www.hungpump.com/jkch"
874,JKCH-40,"Model JKCH-40 is a 800W pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to 1.0 mm. The maximum flow is 100 LPM and the maximum head is 40.0 meters (131 feet). The rated head is 20.0 meters at a rated flow of 65.0 LPM. More details: https://www.hungpump.com/jkch"
875,JKCH-40,"Model JKCH-40 is a 800W pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to 1.0 mm. The maximum flow is 100 LPM and the maximum head is 40.0 meters (131 feet). The rated head is 20.0 meters at a rated flow of 65.0 LPM. More details: https://www.hungpump.com/jkch"
876,JKCH-50,"Model JKCH-50 is a 1.1kW pump operating at 60Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to 1.0 mm. The maximum flow is 100 LPM and the maximum head is 50.0 meters (164 feet). The rated head is 30.0 meters at a rated flow of 53.0 LPM. More details: https://www.hungpump.com/jkch"
877,JKCH-50,"Model JKCH-50 is a 1.1kW pump operating at 60Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to 1.0 mm. The maximum flow is 100 LPM and the maximum head is 50.0 meters (164 feet). The rated head is 30.0 meters at a rated flow of 53.0 LPM. More details: https://www.hungpump.com/jkch"
878,JKCH-50,"Model JKCH-50 is a 1.1kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to 1.0 mm. The maximum flow is 100 LPM and the maximum head is 50.0 meters (164 feet). The rated head is 30.0 meters at a rated flow of 53.0 LPM. More details: https://www.hungpump.com/jkch"
879,JKCH-50,"Model JKCH-50 is a 1.1kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to 1.0 mm. The maximum flow is 100 LPM and the maximum head is 50.0 meters (164 feet). The rated head is 30.0 meters at a rated flow of 53.0 LPM. More details: https://www.hungpump.com/jkch"
880,JKCH-60,"Model JKCH-60 is a 1.35kW pump operating at 60Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to 1.0 mm. The maximum flow is 100 LPM and the maximum head is 60.0 meters (197 feet). The rated head is 40.0 meters at a rated flow of 45.0 LPM. More details: https://www.hungpump.com/jkch"
881,JKCH-60,"Model JKCH-60 is a 1.35kW pump operating at 60Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to 1.0 mm. The maximum flow is 100 LPM and the maximum head is 60.0 meters (197 feet). The rated head is 40.0 meters at a rated flow of 45.0 LPM. More details: https://www.hungpump.com/jkch"
882,JKCH-60,"Model JKCH-60 is a 1.35kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to 1.0 mm. The maximum flow is 100 LPM and the maximum head is 60.0 meters (197 feet). The rated head is 40.0 meters at a rated flow of 45.0 LPM. More details: https://www.hungpump.com/jkch"
883,JKCH-60,"Model JKCH-60 is a 1.35kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to 1.0 mm. The maximum flow is 100 LPM and the maximum head is 60.0 meters (197 feet). The rated head is 40.0 meters at a rated flow of 45.0 LPM. More details: https://www.hungpump.com/jkch"
884,KA-2.4,"Model KA-2.4 is a 400W pump operating at 60Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 7.0 mm. The maximum flow is 250 LPM and the maximum head is 12.0 meters (39 feet). The rated head is 8.0 meters at a rated flow of 155.0 LPM. More details: https://www.hungpump.com/ka"
885,KA-2.4,"Model KA-2.4 is a 400W pump operating at 60Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 7.0 mm. The maximum flow is 250 LPM and the maximum head is 12.0 meters (39 feet). The rated head is 8.0 meters at a rated flow of 155.0 LPM. More details: https://www.hungpump.com/ka"
886,KA-2.4A,"Model KA-2.4A is a 400W pump operating at 60Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 7.0 mm. The maximum flow is 250 LPM and the maximum head is 12.0 meters (39 feet). The rated head is 8.0 meters at a rated flow of 155.0 LPM. More details: https://www.hungpump.com/ka"
887,KA-2.4A,"Model KA-2.4A is a 400W pump operating at 60Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 7.0 mm. The maximum flow is 250 LPM and the maximum head is 12.0 meters (39 feet). The rated head is 8.0 meters at a rated flow of 155.0 LPM. More details: https://www.hungpump.com/ka"
888,KA-2.4D,"Model KA-2.4D is a 400W pump operating at 60Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 7.0 mm. The maximum flow is 250 LPM and the maximum head is 12.0 meters (39 feet). The rated head is 8.0 meters at a rated flow of 155.0 LPM. More details: https://www.hungpump.com/ka"
889,KA-2.4D,"Model KA-2.4D is a 400W pump operating at 60Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 7.0 mm. The maximum flow is 250 LPM and the maximum head is 12.0 meters (39 feet). The rated head is 8.0 meters at a rated flow of 155.0 LPM. More details: https://www.hungpump.com/ka"
890,KA-2.4DA,"Model KA-2.4DA is a 400W pump operating at 60Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 7.0 mm. The maximum flow is 250 LPM and the maximum head is 12.0 meters (39 feet). The rated head is 8.0 meters at a rated flow of 155.0 LPM. More details: https://www.hungpump.com/ka"
891,KA-2.4DA,"Model KA-2.4DA is a 400W pump operating at 60Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 7.0 mm. The maximum flow is 250 LPM and the maximum head is 12.0 meters (39 feet). The rated head is 8.0 meters at a rated flow of 155.0 LPM. More details: https://www.hungpump.com/ka"
892,KA-2.4R,"Model KA-2.4R is a 400W pump operating at 60Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 2.8 mm. The maximum flow is 160 LPM and the maximum head is 15.5 meters (51 feet). The rated head is 8.0 meters at a rated flow of 125.0 LPM. More details: https://www.hungpump.com/ka"
893,KA-2.4R,"Model KA-2.4R is a 400W pump operating at 60Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 2.8 mm. The maximum flow is 160 LPM and the maximum head is 14.0 meters (46 feet). The rated head is 8.0 meters at a rated flow of 110.0 LPM. More details: https://www.hungpump.com/ka"
894,KA-2.75D,"Model KA-2.75D is a 750W pump operating at 60Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 7.0 mm. The maximum flow is 220 LPM and the maximum head is 20.0 meters (66 feet). The rated head is 12.0 meters at a rated flow of 155.0 LPM. More details: https://www.hungpump.com/ka"
895,KA-2.75D,"Model KA-2.75D is a 750W pump operating at 60Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 7.0 mm. The maximum flow is 220 LPM and the maximum head is 20.0 meters (66 feet). The rated head is 12.0 meters at a rated flow of 155.0 LPM. More details: https://www.hungpump.com/ka"
896,KA-2.75DA,"Model KA-2.75DA is a 750W pump operating at 60Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 7.0 mm. The maximum flow is 220 LPM and the maximum head is 20.0 meters (66 feet). The rated head is 12.0 meters at a rated flow of 155.0 LPM. More details: https://www.hungpump.com/ka"
897,KA-2.75DA,"Model KA-2.75DA is a 750W pump operating at 60Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 7.0 mm. The maximum flow is 220 LPM and the maximum head is 20.0 meters (66 feet). The rated head is 12.0 meters at a rated flow of 155.0 LPM. More details: https://www.hungpump.com/ka"
898,KA-3.75D,"Model KA-3.75D is a 750W pump operating at 60Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 7.0 mm. The maximum flow is 250 LPM and the maximum head is 19.0 meters (62 feet). The rated head is 12.0 meters at a rated flow of 175.0 LPM. More details: https://www.hungpump.com/ka"
899,KA-3.75D,"Model KA-3.75D is a 750W pump operating at 60Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 7.0 mm. The maximum flow is 250 LPM and the maximum head is 19.0 meters (62 feet). The rated head is 12.0 meters at a rated flow of 175.0 LPM. More details: https://www.hungpump.com/ka"
900,KA-3.75DA,"Model KA-3.75DA is a 750W pump operating at 60Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 7.0 mm. The maximum flow is 250 LPM and the maximum head is 19.0 meters (62 feet). The rated head is 12.0 meters at a rated flow of 175.0 LPM. More details: https://www.hungpump.com/ka"
901,KA-3.75DA,"Model KA-3.75DA is a 750W pump operating at 60Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 7.0 mm. The maximum flow is 250 LPM and the maximum head is 19.0 meters (62 feet). The rated head is 12.0 meters at a rated flow of 175.0 LPM. More details: https://www.hungpump.com/ka"
902,KHL-100,"Model KHL-100 is a 7.5kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 15.0 mm. The maximum flow is 1680 LPM and the maximum head is 38.0 meters (125 feet). The rated head is nan meters at a rated flow of 1300.0 LPM. More details: https://www.hungpump.com/khl"
903,KHL-100,"Model KHL-100 is a 7.5kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 15.0 mm. The maximum flow is 1680 LPM and the maximum head is 38.0 meters (125 feet). The rated head is 25.0 meters at a rated flow of 1300.0 LPM. More details: https://www.hungpump.com/khl"
904,KHL-20,"Model KHL-20 is a 1.5kW pump operating at 60Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 12.0 mm. The maximum flow is 415 LPM and the maximum head is 25.0 meters (82 feet). The rated head is 15.0 meters at a rated flow of 370.0 LPM. More details: https://www.hungpump.com/khl"
905,KHL-20,"Model KHL-20 is a 1.5kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 12.0 mm. The maximum flow is 415 LPM and the maximum head is 25.0 meters (82 feet). The rated head is 15.0 meters at a rated flow of 370.0 LPM. More details: https://www.hungpump.com/khl"
906,KHL-20,"Model KHL-20 is a 1.5kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 12.0 mm. The maximum flow is 415 LPM and the maximum head is 25.0 meters (82 feet). The rated head is 15.0 meters at a rated flow of 370.0 LPM. More details: https://www.hungpump.com/khl"
907,KHL-30,"Model KHL-30 is a 2.2kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 12.0 mm. The maximum flow is 620 LPM and the maximum head is 28.0 meters (92 feet). The rated head is 15.0 meters at a rated flow of 490.0 LPM. More details: https://www.hungpump.com/khl"
908,KHL-30,"Model KHL-30 is a 2.2kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 12.0 mm. The maximum flow is 620 LPM and the maximum head is 28.0 meters (92 feet). The rated head is 15.0 meters at a rated flow of 490.0 LPM. More details: https://www.hungpump.com/khl"
909,KHL-50,"Model KHL-50 is a 3.7kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 15.0 mm. The maximum flow is 770 LPM and the maximum head is 32.0 meters (105 feet). The rated head is 20.0 meters at a rated flow of 620.0 LPM. More details: https://www.hungpump.com/khl"
910,KHL-50,"Model KHL-50 is a 3.7kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 15.0 mm. The maximum flow is 770 LPM and the maximum head is 32.0 meters (105 feet). The rated head is 20.0 meters at a rated flow of 620.0 LPM. More details: https://www.hungpump.com/khl"
911,KHL-75,"Model KHL-75 is a 5.5kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 15.0 mm. The maximum flow is 1380 LPM and the maximum head is 31.0 meters (102 feet). The rated head is 20.0 meters at a rated flow of 1050.0 LPM. More details: https://www.hungpump.com/khl"
912,KHL-75,"Model KHL-75 is a 5.5kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 15.0 mm. The maximum flow is 1380 LPM and the maximum head is 31.0 meters (102 feet). The rated head is 20.0 meters at a rated flow of 1050.0 LPM. More details: https://www.hungpump.com/khl"
913,KS-05,"Model KS-05 is a 400W pump operating at 60Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 5.0 mm. The maximum flow is 260 LPM and the maximum head is 10.0 meters (33 feet). The rated head is 6.0 meters at a rated flow of 140.0 LPM. More details: https://www.hungpump.com/ks"
914,KS-05,"Model KS-05 is a 400W pump operating at 60Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 5.0 mm. The maximum flow is 260 LPM and the maximum head is 10.0 meters (33 feet). The rated head is 6.0 meters at a rated flow of 140.0 LPM. More details: https://www.hungpump.com/ks"
915,KS-10,"Model KS-10 is a 750W pump operating at 60Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 6.0 mm. The maximum flow is 420 LPM and the maximum head is 14.0 meters (46 feet). The rated head is 9.0 meters at a rated flow of 190.0 LPM. More details: https://www.hungpump.com/ks"
916,KS-10,"Model KS-10 is a 750W pump operating at 60Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 6.0 mm. The maximum flow is 420 LPM and the maximum head is 14.0 meters (46 feet). The rated head is 9.0 meters at a rated flow of 190.0 LPM. More details: https://www.hungpump.com/ks"
917,KS-10,"Model KS-10 is a 750W pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 6.0 mm. The maximum flow is 420 LPM and the maximum head is 14.0 meters (46 feet). The rated head is 9.0 meters at a rated flow of 190.0 LPM. More details: https://www.hungpump.com/ks"
918,KS-10,"Model KS-10 is a 750W pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 6.0 mm. The maximum flow is 420 LPM and the maximum head is 14.0 meters (46 feet). The rated head is 9.0 meters at a rated flow of 190.0 LPM. More details: https://www.hungpump.com/ks"
919,KS-100,"Model KS-100 is a 7.5kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 11.0 mm. The maximum flow is 2400 LPM and the maximum head is 28.0 meters (92 feet). The rated head is 15.0 meters at a rated flow of 1400.0 LPM. More details: https://www.hungpump.com/ks"
920,KS-100,"Model KS-100 is a 7.5kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 11.0 mm. The maximum flow is 2400 LPM and the maximum head is 28.0 meters (92 feet). The rated head is 15.0 meters at a rated flow of 1400.0 LPM. More details: https://www.hungpump.com/ks"
921,KS-20,"Model KS-20 is a 1.5kW pump operating at 60Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 9.0 mm. The maximum flow is 700 LPM and the maximum head is 17.0 meters (56 feet). The rated head is 9.0 meters at a rated flow of 520.0 LPM. More details: https://www.hungpump.com/ks"
922,KS-20,"Model KS-20 is a 1.5kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 9.0 mm. The maximum flow is 700 LPM and the maximum head is 17.0 meters (56 feet). The rated head is 9.0 meters at a rated flow of 520.0 LPM. More details: https://www.hungpump.com/ks"
923,KS-20,"Model KS-20 is a 1.5kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 9.0 mm. The maximum flow is 700 LPM and the maximum head is 17.0 meters (56 feet). The rated head is 9.0 meters at a rated flow of 520.0 LPM. More details: https://www.hungpump.com/ks"
924,KS-20,"Model KS-20 is a 1.5kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 12.0 mm. The maximum flow is 960 LPM and the maximum head is 15.5 meters (51 feet). The rated head is 9.0 meters at a rated flow of 620.0 LPM. More details: https://www.hungpump.com/ks"
925,KS-30,"Model KS-30 is a 2.2kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 11.0 mm. The maximum flow is 900 LPM and the maximum head is 18.0 meters (59 feet). The rated head is 10.0 meters at a rated flow of 530.0 LPM. More details: https://www.hungpump.com/ks"
926,KS-30,"Model KS-30 is a 2.2kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 11.0 mm. The maximum flow is 900 LPM and the maximum head is 18.0 meters (59 feet). The rated head is 10.0 meters at a rated flow of 530.0 LPM. More details: https://www.hungpump.com/ks"
927,KS-30,"Model KS-30 is a 2.2kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 12.0 mm. The maximum flow is 1,200 LPM and the maximum head is 20.0 meters (66 feet). The rated head is 12.0 meters at a rated flow of 800.0 LPM. More details: https://www.hungpump.com/ks"
928,KS-50,"Model KS-50 is a 3.7kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 11.0 mm. The maximum flow is 1200 LPM and the maximum head is 22.0 meters (72 feet). The rated head is 15.0 meters at a rated flow of 630.0 LPM. More details: https://www.hungpump.com/ks"
929,KS-50,"Model KS-50 is a 3.7kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 11.0 mm. The maximum flow is 1200 LPM and the maximum head is 22.0 meters (72 feet). The rated head is 15.0 meters at a rated flow of 630.0 LPM. More details: https://www.hungpump.com/ks"
930,KS-50,"Model KS-50 is a 3.7kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 12.0 mm. The maximum flow is 1,400 LPM and the maximum head is 26.0 meters (85 feet). The rated head is 15.0 meters at a rated flow of 1020.0 LPM. More details: https://www.hungpump.com/ks"
931,KS-75,"Model KS-75 is a 5.5kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 11.0 mm. The maximum flow is 1900 LPM and the maximum head is 24.0 meters (79 feet). The rated head is 15.0 meters at a rated flow of 880.0 LPM. More details: https://www.hungpump.com/ks"
932,KS-75,"Model KS-75 is a 5.5kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 11.0 mm. The maximum flow is 1900 LPM and the maximum head is 24.0 meters (79 feet). The rated head is 15.0 meters at a rated flow of 880.0 LPM. More details: https://www.hungpump.com/ks"
933,KSL-10,"Model KSL-10 is a 750W pump operating at 60Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 9.0 mm. The maximum flow is 560 LPM and the maximum head is 13.0 meters (43 feet). The rated head is 7.5 meters at a rated flow of 325.0 LPM. More details: https://www.hungpump.com/ksl"
934,KSL-10,"Model KSL-10 is a 750W pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 9.0 mm. The maximum flow is 560 LPM and the maximum head is 13.0 meters (43 feet). The rated head is 7.5 meters at a rated flow of 325.0 LPM. More details: https://www.hungpump.com/ksl"
935,KSP-10,"Model KSP-10 is a 750W pump operating at 60Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 6.0 mm. The maximum flow is 420 LPM and the maximum head is 14.0 meters (46 feet). The rated head is 9.0 meters at a rated flow of 190.0 LPM. More details: https://www.hungpump.com/ksp"
936,KSP-10,"Model KSP-10 is a 750W pump operating at 60Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 6.0 mm. The maximum flow is 420 LPM and the maximum head is 14.0 meters (46 feet). The rated head is 9.0 meters at a rated flow of 190.0 LPM. More details: https://www.hungpump.com/ksp"
937,KSP-10,"Model KSP-10 is a 750W pump operating at 60Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 6.0 mm. The maximum flow is 420 LPM and the maximum head is 14.0 meters (46 feet). The rated head is 9.0 meters at a rated flow of 190.0 LPM. More details: https://www.hungpump.com/ksp"
938,KSP-10,"Model KSP-10 is a 750W pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 6.0 mm. The maximum flow is 420 LPM and the maximum head is 14.0 meters (46 feet). The rated head is 9.0 meters at a rated flow of 190.0 LPM. More details: https://www.hungpump.com/ksp"
939,KSP-10,"Model KSP-10 is a 750W pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 6.0 mm. The maximum flow is 420 LPM and the maximum head is 14.0 meters (46 feet). The rated head is 9.0 meters at a rated flow of 190.0 LPM. More details: https://www.hungpump.com/ksp"
940,KSP-100,"Model KSP-100 is a 7.5kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 150.0 mm (6""), and can handle solids up to 11.0 mm. The maximum flow is 2400 LPM and the maximum head is 28.0 meters (92 feet). The rated head is 15.0 meters at a rated flow of 1400.0 LPM. More details: https://www.hungpump.com/ksp"
941,KSP-100,"Model KSP-100 is a 7.5kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 150.0 mm (6""), and can handle solids up to 11.0 mm. The maximum flow is 2400 LPM and the maximum head is 28.0 meters (92 feet). The rated head is 15.0 meters at a rated flow of 1400.0 LPM. More details: https://www.hungpump.com/ksp"
942,KSP-100,"Model KSP-100 is a 7.5kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 150.0 mm (6""), and can handle solids up to 11.0 mm. The maximum flow is 2400 LPM and the maximum head is 28.0 meters (92 feet). The rated head is 15.0 meters at a rated flow of 1400.0 LPM. More details: https://www.hungpump.com/ksp"
943,KSP-20,"Model KSP-20 is a 1.5kW pump operating at 60Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 9.0 mm. The maximum flow is 700 LPM and the maximum head is 17.0 meters (56 feet). The rated head is 9.0 meters at a rated flow of 520.0 LPM. More details: https://www.hungpump.com/ksp"
944,KSP-20,"Model KSP-20 is a 1.5kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 9.0 mm. The maximum flow is 700 LPM and the maximum head is 17.0 meters (56 feet). The rated head is 9.0 meters at a rated flow of 520.0 LPM. More details: https://www.hungpump.com/ksp"
945,KSP-20,"Model KSP-20 is a 1.5kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 9.0 mm. The maximum flow is 700 LPM and the maximum head is 17.0 meters (56 feet). The rated head is 9.0 meters at a rated flow of 520.0 LPM. More details: https://www.hungpump.com/ksp"
946,KSP-30,"Model KSP-30 is a 2.2kW pump operating at 60Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 11.0 mm. The maximum flow is 900 LPM and the maximum head is 18.0 meters (59 feet). The rated head is 10.0 meters at a rated flow of 530.0 LPM. More details: https://www.hungpump.com/ksp"
947,KSP-30,"Model KSP-30 is a 2.2kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 11.0 mm. The maximum flow is 900 LPM and the maximum head is 18.0 meters (59 feet). The rated head is 10.0 meters at a rated flow of 530.0 LPM. More details: https://www.hungpump.com/ksp"
948,KSP-30,"Model KSP-30 is a 2.2kW pump operating at 60Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 11.0 mm. The maximum flow is 900 LPM and the maximum head is 18.0 meters (59 feet). The rated head is 10.0 meters at a rated flow of 530.0 LPM. More details: https://www.hungpump.com/ksp"
